ID1,ID2,EdgeType,Score,Annotation
6,7,MS1 annotation,2,[M-H2O+Na]+ [M+H-H2O]+ dm/z=21.98207
6,7,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98207
8,12,MS1 annotation,3,[M-H2O+NH4]+ [M+H-2H2O]+ dm/z=35.03704
8,12,MS1 annotation,3,[M+NH4]+ [M-H2O+H]+ dm/z=35.03704
8,12,MS1 annotation,3,[M+NH4]+ [M+H-H2O]+ dm/z=35.03704
8,9,MS1 annotation,2,[M+?]+ [M-H2O+?]+ dm/z=18.01057
9,12,MS1 annotation,3,[M-H2O+NH4]+ [M+H-H2O]+ dm/z=17.02647
9,12,MS1 annotation,3,[M+NH4]+ [M+H]+ dm/z=17.02647
27,28,MS1 annotation,2,[M+?]+ [M-H2O+?]+ dm/z=18.01069
39,40,MS1 annotation,2,[M-H2O+NH4]+ [M+H-H2O]+ dm/z=17.02654
39,40,MS1 annotation,2,[M+NH4]+ [M+H]+ dm/z=17.02654
52,53,MS1 annotation,2,[M-H2O+NH4]+ [M+H-H2O]+ dm/z=17.02653
52,53,MS1 annotation,2,[M+NH4]+ [M+H]+ dm/z=17.02653
68,69,MS1 annotation,2,[M+?]+ [M-H2O+?]+ dm/z=18.01066
71,73,MS1 annotation,3,[M-H2O+NH4]+ [M+H-2H2O]+ dm/z=35.03714
71,74,MS1 annotation,3,[M-H2O+Na]+ [M+H-2H2O]+ dm/z=39.99235
71,73,MS1 annotation,3,[M+NH4]+ [M-H2O+H]+ dm/z=35.03714
71,74,MS1 annotation,3,[M+Na]+ [M-H2O+H]+ dm/z=39.99235
71,73,MS1 annotation,3,[M+NH4]+ [M+H-H2O]+ dm/z=35.03714
71,74,MS1 annotation,3,[M+Na]+ [M+H-H2O]+ dm/z=39.99235
73,74,MS1 annotation,3,[M+Na]+ [M+NH4]+ dm/z=4.95521
78,84,MS1 annotation,3,[M-H2O+Na]+ [M+H-2H2O]+ dm/z=39.99241
78,84,MS1 annotation,3,[M+Na]+ [M-H2O+H]+ dm/z=39.99241
78,84,MS1 annotation,3,[M+Na]+ [M+H-H2O]+ dm/z=39.99241
78,79,MS1 annotation,2,[M+MeOH+NH4]+ [M+H]+ dm/z=49.0528
78,83,MS1 annotation,2,[M+?]+ [M-H2O+?]+ dm/z=18.01066
79,81,MS1 annotation,3,[M+NH4]+ [2M+MeOH]+ dm/z=213.10019
80,81,MS1 annotation,3,[M+NH4]+ [2M+HFA]+ dm/z=227.11583
81,82,MS1 annotation,2,[M+?]+ [M-H2O+?]+ dm/z=18.01056
83,84,MS1 annotation,3,[M-H2O+Na]+ [M+H-H2O]+ dm/z=21.98175
83,84,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98175
87,88,MS1 annotation,2,[M+H]+ [M]+ dm/z=1.00325
87,88,MS1 annotation,2,[M+H-H2O]+ [M-H2O]+ dm/z=1.00325
95,96,MS1 annotation,2,[M+?]+ [M-H2O+?]+ dm/z=18.01048
103,105,MS1 annotation,3,[M+NH4]+ [2M+MeOH]+ dm/z=213.10011
105,109,MS1 annotation,3,[2M+HFA]+ [M+NH4]+ dm/z=227.11578
106,108,MS1 annotation,2,[M-H2O+Na]+ [M+H-H2O]+ dm/z=21.98166
106,108,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98166
110,112,MS1 annotation,2,[M-H2O]+ [M+H-H2O]+ dm/z=1.00294
110,112,MS1 annotation,2,[M]+ [M+H]+ dm/z=1.00294
111,112,MS1 annotation,2,[M+H]+ [M]+ dm/z=1.00363
111,112,MS1 annotation,2,[M+H-H2O]+ [M-H2O]+ dm/z=1.00363
122,123,MS1 annotation,2,[M+H]+ [M]+ dm/z=1.00336
122,123,MS1 annotation,2,[M+H-H2O]+ [M-H2O]+ dm/z=1.00336
123,124,MS1 annotation,2,[M-H2O+H]+ [M]+ dm/z=16.9983
123,124,MS1 annotation,2,[M+H-2H2O]+ [M-H2O]+ dm/z=16.9983
132,133,MS1 annotation,3,[M+NH4]+ [2M+MeOH]+ dm/z=213.10009
132,134,MS1 annotation,2,[M+H]+ [M+MeOH+NH4]+ dm/z=49.05281
133,137,MS1 annotation,3,[2M+HFA]+ [M+NH4]+ dm/z=227.1157
133,138,MS1 annotation,2,[M+?]+ [M-H2O+?]+ dm/z=18.01052
134,135,MS1 annotation,3,[M+NH4]+ [M-H2O+H]+ dm/z=35.03721
134,135,MS1 annotation,3,[M+NH4]+ [M+H-H2O]+ dm/z=35.03721
134,135,MS1 annotation,2,[M-H2O+NH4]+ [M+H-2H2O]+ dm/z=35.03721
135,140,MS1 annotation,3,[M+Na]+ [M+NH4]+ dm/z=4.95522
135,138,MS1 annotation,2,[M+NH4]+ [2M-H2O]+ dm/z=181.07397
146,150,MS1 annotation,3,[M-H2O+Na]+ [M+H-H2O]+ dm/z=21.9817
146,147,MS1 annotation,3,[M-H2O+NH4]+ [M+H-H2O]+ dm/z=17.02649
146,150,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.9817
146,147,MS1 annotation,3,[M+NH4]+ [M+H]+ dm/z=17.02649
146,148,MS1 annotation,2,[M+NH4]+ [M]+ dm/z=18.02977
146,148,MS1 annotation,2,[M+ACN]+ [M+Na]+ dm/z=18.02977
147,150,MS1 annotation,3,[M+Na]+ [M+NH4]+ dm/z=4.9552
147,148,MS1 annotation,2,[M+H]+ [M]+ dm/z=1.00328
147,148,MS1 annotation,2,[M+H-H2O]+ [M-H2O]+ dm/z=1.00328
175,176,MS1 annotation,2,[M+?]+ [M-H2O+?]+ dm/z=18.0105
187,188,MS1 annotation,2,[M+?]+ [M-H2O+?]+ dm/z=18.01055
189,190,MS1 annotation,2,[M+H]+ [M]+ dm/z=1.00316
189,190,MS1 annotation,2,[M+H-H2O]+ [M-H2O]+ dm/z=1.00316
191,193,MS1 annotation,2,[M+?]+ [M-H2O+?]+ dm/z=18.01038
194,198,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98176
194,196,MS1 annotation,3,[M+NH4]+ [M+H]+ dm/z=17.02658
